location,lag_-3,lag_-2,lag_-1,lag_0,lag_1,lag_2,lag_3
Bromma,0.14057099487852295,0.26001896181252193,0.4696326635913867,0.553096509387302,0.3735954522412579,0.11519397498800707,-0.06819820585869087
Grödinge,0.21008265140562388,0.4549775391028493,0.49138090597323414,0.35298639170088014,0.18059106545269427,0.21896545970809422,0.1811346368183536
Gävle,0.07260277913627816,0.09159281438325538,0.14772417407020183,0.34275068149787014,0.3275085631289694,0.19503952829625515,0.15275577311328245
Göteborg,0.2646488399872298,0.2518399968452917,0.20272778242070139,0.2297745456091645,0.06685469171246039,-0.08507526857529432,0.04461171750115574
Helsingborg,0.34745606451795485,0.2510033220359457,0.281684164348552,0.3826389697345659,0.38010377681943436,0.4049612244634088,0.14680068460172288
Henriksdal,0.20791396815939994,0.2111914812670404,0.32493064343769806,0.37945358582926586,0.4166099244481222,0.3287758610744304,-0.0031124403450295155
Jönköping,-0.0434606417523912,0.10878221410373949,0.1903134820548231,0.19725967513087922,0.08010534593796419,-0.020497400465427026,0.23236667105529052
Kalmar,0.23706878914683446,-0.017213517279995972,0.0709299224185607,0.3062905385288052,0.23050358283287864,0.3307685811471508,0.18118078397632792
Karlstad,0.029485505827515975,0.14995101312058637,0.32343682400164975,0.3093581481500285,0.3772606733348795,0.24346562399782182,-0.03406981518384112
Käppala,0.17930626728541665,0.15306287652986497,0.3720954005886096,0.5214186241041429,0.5037100355891907,0.4243004873691508,0.10627996942115625
Linköping,0.0229082184595488,0.3027614082883889,0.4934603351235995,0.43817412182054816,0.10218418439646654,0.04092738132289439,0.13785434011145464
Luleå,0.1475023351667693,0.08830988967810043,0.16839907379111807,0.3175339622845191,0.21375071426597234,0.042466452280735145,0.02356234774342147
Malmö,0.181928218093076,0.2034981042248702,0.3558360542685815,0.3426323409926022,0.29713923351545485,0.26853664950905876,0.12355772998509817
Umeå,0.08059717200075682,0.4041925589451004,0.30140843812208473,0.33561735693793976,0.33935932531897944,0.018065407230118968,0.04666508798263403
Uppsala,-0.02129256720233235,0.18270439289153625,0.3887654648039905,0.4992690232910598,0.266580702372052,0.049250763443940186,0.0956061405949281
Västerås,-0.050999909701846584,0.21548724816923154,0.3111860155921248,0.2540128267796907,0.055184574391365614,0.07281822135802524,0.16191349148628073
Örebro,0.19425825406005454,-0.10269683841035895,0.16880716861426723,0.28061126262276465,0.09969957753701862,0.07277835154336933,0.07022857544078834
Östersund,0.14594573656888832,0.30315757655118675,0.25065814126722197,0.3074465132353611,0.1984204392821416,0.2643897869355562,0.27592311675689435
Östhammar,-0.0656885638698128,0.038296511974642046,0.11858311984798243,0.07055470986927066,-0.190546694078811,-0.13622850926764754,-0.09593638961605896
Stockholm,0.1575806190078991,0.016579531882416586,0.24101657985039027,0.7622283790052965,0.3140568413354726,0.06110871976449189,-0.06156236386071159
National,0.0888488254185211,-0.038647403080807934,0.20295852273266135,0.8242552998155869,0.2347318791002083,-0.0705728552199494,-0.024570729816647124
