trend_type,location,threshold,lag,n,tp,fp,fn,tn,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper
Three-week,National,>25%,-1,55,4,9,7,35,0.36363636363636365,0.07936174934032836,0.6479109779323989,0.7954545454545454,0.6762687901088951,0.9146403008001958,0.3076923076923077,0.05680175227259626,0.5585828631120191,0.8333333333333334,0.7206246963931249,0.9460419702735419
Three-week,National,>25%,0,56,7,7,4,38,0.6363636363636364,0.35208902206760107,0.9206382506596716,0.8444444444444444,0.7385507406530613,0.9503381482358276,0.5,0.23808879569410074,0.7619112043058993,0.9047619047619048,0.815985827826735,0.9935379816970745
Three-week,Stockholm,>25%,-3,53,1,11,6,35,0.14285714285714285,0,0.4020820073882114,0.7608695652173914,0.6376040179368486,0.8841351124979341,0.08333333333333333,0,0.23971022075206433,0.8536585365853658,0.7454698238846599,0.9618472492860718
Three-week,Stockholm,>25%,-2,54,3,9,5,37,0.375,0.03952609805303314,0.7104739019469668,0.8043478260869565,0.6897085433232544,0.9189871088506587,0.25,0.005004501932493299,0.4949954980675067,0.8809523809523809,0.7830123990065401,0.9788923628982218
Three-week,Stockholm,>25%,-1,55,5,7,4,39,0.5555555555555556,0.23091757756422915,0.880193533546882,0.8478260869565217,0.7440272070616635,0.95162496685138,0.4166666666666667,0.13772702149116772,0.6956063118421656,0.9069767441860465,0.8201591580059946,0.9937943303660983
Three-week,Stockholm,>25%,0,56,7,6,2,41,0.7777777777777778,0.5061661584975861,1,0.8723404255319149,0.7769359260023486,0.9677449250614812,0.5384615384615384,0.267468766235759,0.8094543106873179,0.9534883720930233,0.8905446625974056,1
Week-to-week,National,>10%,-3,54,10,14,12,18,0.45454545454545453,0.2464777419237668,0.6626131671671422,0.5625,0.3906207721742536,0.7343792278257464,0.4166666666666667,0.21942655202130193,0.6139067813120315,0.6,0.4246954918846837,0.7753045081153163
Week-to-week,National,>10%,-2,55,12,13,11,19,0.5217391304347826,0.31759198923848864,0.7258862716310766,0.59375,0.4235844662994227,0.7639155337005773,0.48,0.28416046143383067,0.6758395385661693,0.6333333333333333,0.46089280214294037,0.8057738645237262
Week-to-week,National,>10%,-1,56,15,11,9,21,0.625,0.43131405240482457,0.8186859475951754,0.65625,0.49168816801940296,0.820811831980597,0.5769230769230769,0.38702085718402546,0.7668252966621283,0.7,0.5360176480688885,0.8639823519311114
Week-to-week,National,>10%,0,57,17,10,7,23,0.7083333333333334,0.5264869327598847,0.8901797339067821,0.696969696969697,0.5401714874325454,0.8537679065068486,0.6296296296296297,0.44748058174611405,0.8117786775131453,0.7666666666666667,0.6153178091501779,0.9180155241831556
Week-to-week,Stockholm,>10%,-3,54,6,15,13,20,0.3157894736842105,0.10678047197502125,0.5247984753933997,0.5714285714285714,0.4074803718152169,0.7353767710419259,0.2857142857142857,0.09249947953107121,0.4789290918975002,0.6060606060606061,0.43934976014371696,0.7727714519774952
Week-to-week,Stockholm,>10%,-2,55,8,14,12,21,0.4,0.18529670275394122,0.6147032972460589,0.6,0.43769956280609984,0.7623004371939002,0.36363636363636365,0.16262385614844685,0.5646488711242804,0.6363636363636364,0.47223761127604336,0.8004896614512294
Week-to-week,Stockholm,>10%,-1,56,10,13,11,22,0.47619047619047616,0.2625834708401552,0.6897974815407971,0.6285714285714286,0.4684943900686329,0.7886484670742242,0.43478260869565216,0.23218793977291566,0.6373772776183887,0.6666666666666666,0.505830073918114,0.8275032594152193
Week-to-week,Stockholm,>10%,0,57,15,9,6,27,0.7142857142857143,0.5210709081024998,0.9075005204689288,0.75,0.6085517832404785,0.8914482167595215,0.625,0.43131405240482457,0.8186859475951754,0.8181818181818182,0.6865882422966387,0.9497753940669977
Week-to-week,National,>25%,-3,54,3,13,10,28,0.23076923076923078,0.0017385363219374894,0.4597999252165241,0.6829268292682927,0.5404897703143503,0.8253638882222352,0.1875,0,0.3787495493810248,0.7368421052631579,0.5968344727861593,0.8768497377401564
Week-to-week,National,>25%,-2,55,5,11,9,30,0.35714285714285715,0.10614946132993164,0.6081362529557827,0.7317073170731707,0.5960855883493861,0.8673290457969554,0.3125,0.08538309473581354,0.5396169052641865,0.7692307692307693,0.6369998361389375,0.901461702322601
Week-to-week,National,>25%,-1,56,8,9,6,33,0.5714285714285714,0.3122037068975028,0.83065343595964,0.7857142857142857,0.6616198295610309,0.9098087418675405,0.47058823529411764,0.23331925862666358,0.7078572119615717,0.8461538461538461,0.7329180401766138,0.9593896521310785
Week-to-week,National,>25%,0,57,8,10,6,33,0.5714285714285714,0.3122037068975028,0.83065343595964,0.7674418604651163,0.6411712216559438,0.8937124992742889,0.4444444444444444,0.21489072877608836,0.6739981601128004,0.8461538461538461,0.7329180401766138,0.9593896521310785
Week-to-week,Stockholm,>25%,-3,54,2,10,8,34,0.2,0,0.44791801292182465,0.7727272727272727,0.6489022162290723,0.8965523292254731,0.16666666666666666,0,0.37752521864694333,0.8095238095238095,0.6907669764962512,0.9282806425513679
Week-to-week,Stockholm,>25%,-2,55,4,9,7,35,0.36363636363636365,0.07936174934032836,0.6479109779323989,0.7954545454545454,0.6762687901088951,0.9146403008001958,0.3076923076923077,0.05680175227259626,0.5585828631120191,0.8333333333333334,0.7206246963931249,0.9460419702735419
Week-to-week,Stockholm,>25%,-1,56,4,9,8,35,0.3333333333333333,0.06661601798026062,0.600050648686406,0.7954545454545454,0.6762687901088951,0.9146403008001958,0.3076923076923077,0.05680175227259626,0.5585828631120191,0.813953488372093,0.6976415152126859,0.9302654615315001
Week-to-week,Stockholm,>25%,0,57,5,9,7,36,0.4166666666666667,0.13772702149116772,0.6956063118421656,0.8,0.6831303279231226,0.9168696720768775,0.35714285714285715,0.10614946132993164,0.6081362529557827,0.8372093023255814,0.7268660760259523,0.9475525286252106
